number order,arabic market name ,name in E,gender,price for 1kg,perfume code,compny tag,seasons,description
#20,اسكادا كلكشن,,نسائي,46,,EMSA,صيفي,اسكادا كلكشن: ينطلق العطر بنغمات منعشة من خشب الصندل والفانيليا الناعمة، ليستقر في وسطه عبير العود والعنبر، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#21,اسكادا مون سباركل,,نسائي,42,,EMSA,صيفي,اسكادا مون سباركل: ينطلق العطر بنغمات منعشة من الباتشولي والفانيليا الناعمة، بينما ينبض القلب بنبضات الفانيليا والكاكاو، تاركا أثراً جذاباً لا ينسى.
#22,اسكادا انكريد ابل,,نسائي,52,,EMSA,صيفي وشتوي,اسكادا انكريد ابل: يمتاز العطر ببداية فوارة من خشب الصندل والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#23,اسكادا شيري,,نسائي,50,,EMSA,صيفي,اسكادا شيري: تأتي الرشة الأولى مزيجاً من خشب الصندل والفانيليا الناعمة، ليستقر في وسطه عبير التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#24,اسكيب,,للجنسين,48,,EMSA,صيفي وشتوي,اسكيب: يمتاز العطر ببداية فوارة من الباتشولي والمسك الأبيض، مع قلب يفوح برائحة التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#25,اغراء اوربي,,للجنسين,58,,EMSA,صيفي وشتوي,اغراء اوربي: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير خشب الصندل والباتشولي، ليستقر في النهاية على قاعدة فاخرة.
#26,اغراء نسائي NEW,,نسائي,52,,EMSA,صيفي وشتوي,اغراء نسائي NEW: يطل علينا العطر بافتتاحية من الورد التركي وزهر البرتقال، ليستقر في وسطه عبير التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#27,اغراء اسود,,للجنسين,53,,EMSA,صيفي وشتوي,اغراء اسود: تبدأ التجربة العطرية بعبير الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، يعطي شعوراً بالفخامة والتميز.
#28,اغراء خاص فكتوريا سكرت,,نسائي,45,,EMSA,صيفي وشتوي,اغراء خاص فكتوريا سكرت: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ التوابل الحارة والزعفران، يمنحك هالة من الثقة طوال اليوم.
#29,اف سان لوران,,رجالي,52,,EMSA,صيفي وشتوي,اف سان لوران: يفتتح هذا العطر رحلته بنفحات الباتشولي والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ التوابل الحارة والزعفران، يعطي شعوراً بالفخامة والتميز.
#30,ايفري وان,,للجنسين,54,,EMSA,صيفي وشتوي,ايفري وان: يطل علينا العطر بافتتاحية من الباتشولي والفانيليا الناعمة، ويتجلى في جوهره مزيج من خشب الصندل والباتشولي، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#31,افشان,,للجنسين,48,,EMSA,صيفي وشتوي,افشان: يطل علينا العطر بافتتاحية من الباتشولي والفانيليا الناعمة، بينما ينبض القلب بنبضات العود والعنبر، تاركا أثراً جذاباً لا ينسى.
#32,اكتف مان,,رجالي,54,,EMSA,صيفي وشتوي,اكتف مان: يفتتح هذا العطر رحلته بنفحات خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#33,اكسريوس روج,,رجالي,54,,EMSA,صيفي وشتوي,اكسريوس روج: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، ويتجلى في جوهره مزيج من العود والعنبر، يعطي شعوراً بالفخامة والتميز.
#34,اكسي اتلانتس,,للجنسين,42,,EMSA,صيفي وشتوي,اكسي اتلانتس: ينطلق العطر بنغمات منعشة من الباتشولي والمسك الأبيض، ويتجلى في جوهره مزيج من خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#35,اكسي الاسكا,,للجنسين,42,,EMSA,صيفي وشتوي,اكسي الاسكا: يمتاز العطر ببداية فوارة من خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات العود والعنبر، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#36,اكسي شوكلاته NEW,,للجنسين,42,,EMSA,شتوي,اكسي شوكلاته NEW: يطل علينا العطر بافتتاحية من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات العود والعنبر، يمنحك هالة من الثقة طوال اليوم.
#37,اكسي كلك,,للجنسين,42,,EMSA,صيفي وشتوي,اكسي كلك: تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#38,اكسي مارين,,للجنسين,42,,EMSA,صيفي وشتوي,اكسي مارين: يفتتح هذا العطر رحلته بنفحات الباتشولي والفانيليا الناعمة، مع قلب يفوح برائحة العود والعنبر، يعطي شعوراً بالفخامة والتميز.
#39,اكوا دي جيو,,رجالي,48,,EMSA,صيفي,اكوا دي جيو: يفتتح هذا العطر رحلته بنفحات نسيم البحر وإكليل الجبل، ليستقر في وسطه عبير الليمون والبرغموت، تاركا أثراً جذاباً لا ينسى.
#40,اماريج,,نسائي,38,,EMSA,صيفي وشتوي,اماريج: تبدأ التجربة العطرية بعبير الباتشولي والمسك الأبيض، ويتجلى في جوهره مزيج من التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#41,امريكان,,للجنسين,48,,EMSA,صيفي وشتوي,امريكان: يفتتح هذا العطر رحلته بنفحات خشب الصندل والمسك الأبيض، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، يمنحك هالة من الثقة طوال اليوم.
#42,امريكان FR,,للجنسين,48,,EMSA,صيفي وشتوي,امريكان FR: تبدأ التجربة العطرية بعبير الباتشولي والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات العود والعنبر، تاركا أثراً جذاباً لا ينسى.
#43,امنية بلكاري,,للجنسين,50,,EMSA,صيفي وشتوي,امنية بلكاري: يمتاز العطر ببداية فوارة من خشب الصندل والمسك الأبيض، مع قلب يفوح برائحة التوابل الحارة والزعفران، تاركا أثراً جذاباً لا ينسى.
#44,امواج,,للجنسين,50,,EMSA,صيفي وشتوي,امواج: يفتتح هذا العطر رحلته بنفحات خشب الصندل والفانيليا الناعمة، ليستقر في وسطه عبير العود والعنبر، ليستقر في النهاية على قاعدة فاخرة.
#45,امور امور,,نسائي,52,,EMSA,صيفي وشتوي,امور امور: يفتتح هذا العطر رحلته بنفحات الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير الفانيليا والكاكاو، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#46,اموكلر,,للجنسين,60,,EMSA,صيفي وشتوي,اموكلر: تبدأ التجربة العطرية بعبير الباتشولي والمسك الأبيض، مع قلب يفوح برائحة الفانيليا والكاكاو، تاركا أثراً جذاباً لا ينسى.
#47,امير الشباب,,رجالي,54,,EMSA,صيفي وشتوي,امير الشباب: تبدأ التجربة العطرية بعبير خشب الصندل والفانيليا الناعمة، ليستقر في وسطه عبير خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#48,انا الملك,,رجالي,46,,EMSA,صيفي وشتوي,انا الملك: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات الفانيليا والكاكاو، يعطي شعوراً بالفخامة والتميز.
#49,"انا الملكة ""اسانسيه""",,رجالي,54,,EMSA,صيفي وشتوي,"انا الملكة ""اسانسيه"": يطل علينا العطر بافتتاحية من الباتشولي والمسك الأبيض، ليأخذك في رحلة إلى نوتات الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة."
#50,FR انسانسية,,للجنسين,56,,EMSA,صيفي وشتوي,FR انسانسية: يطل علينا العطر بافتتاحية من خشب الصندل والمسك الأبيض، ليستقر في وسطه عبير العود والعنبر، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#51,انا وياك,,للجنسين,54,,EMSA,صيفي وشتوي,انا وياك: يطل علينا العطر بافتتاحية من الباتشولي والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ الفانيليا والكاكاو، تاركا أثراً جذاباً لا ينسى.
#52,انايس انايس,,نسائي,46,,EMSA,صيفي وشتوي,انايس انايس: يطل علينا العطر بافتتاحية من الباتشولي والفانيليا الناعمة، مع قلب يفوح برائحة الفانيليا والكاكاو، يمنحك هالة من الثقة طوال اليوم.
#53,انجل نسائي,,نسائي,50,,EMSA,صيفي وشتوي,انجل نسائي: يمتاز العطر ببداية فوارة من الورد التركي وزهر البرتقال، بينما ينبض القلب بنبضات العود والعنبر، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#54,انجل رجالي جديد,,رجالي,50,,EMSA,صيفي وشتوي,انجل رجالي جديد: يطل علينا العطر بافتتاحية من الباتشولي والمسك الأبيض، ويتجلى في جوهره مزيج من التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#55,انفيكتوس باكوروبان,,رجالي,54,,EMSA,صيفي وشتوي,انفيكتوس باكوروبان: يطل علينا العطر بافتتاحية من الباتشولي والمسك الأبيض، ليأخذك في رحلة إلى نوتات الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة.
#56,انمل,,للجنسين,44,,EMSA,صيفي وشتوي,انمل: ينطلق العطر بنغمات منعشة من الباتشولي والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ الفانيليا والكاكاو، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#57,انكورا ديفا,,للجنسين,54,,EMSA,صيفي وشتوي,انكورا ديفا: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، مع قلب يفوح برائحة الفانيليا والكاكاو، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#58,اوباما اخضره,,للجنسين,50,,EMSA,صيفي وشتوي,اوباما اخضره: تبدأ التجربة العطرية بعبير خشب الصندل والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ العود والعنبر، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#59,اوليمبيا,,نسائي,52,,EMSA,صيفي وشتوي,اوليمبيا: تبدأ التجربة العطرية بعبير الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#60,اوبن اخضر,,للجنسين,48,,EMSA,صيفي وشتوي,اوبن اخضر: تأتي الرشة الأولى مزيجاً من الباتشولي والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، يعطي شعوراً بالفخامة والتميز.
#61,اوراق الورد (م),,للجنسين,28,,EMSA,صيفي وشتوي,اوراق الورد (م): يفتتح هذا العطر رحلته بنفحات الياسمين الأبيض وبراعم اللوز، ويتجلى في جوهره مزيج من الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة.
#62,ايفوريا,,نسائي,46,,EMSA,صيفي وشتوي,ايفوريا: يفتتح هذا العطر رحلته بنفحات الباتشولي والمسك الأبيض، ويتجلى في جوهره مزيج من التوابل الحارة والزعفران، يمنحك هالة من الثقة طوال اليوم.
#63,ايكو رجالي,,رجالي,46,,EMSA,صيفي وشتوي,ايكو رجالي: يمتاز العطر ببداية فوارة من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات الفانيليا والكاكاو، تاركا أثراً جذاباً لا ينسى.
#64,اسي مياكي بلو,,للجنسين,52,,EMSA,صيفي,اسي مياكي بلو: يفتتح هذا العطر رحلته بنفحات نسيم البحر وإكليل الجبل، ليستقر في وسطه عبير الحمضيات الإيطالية، ليستقر في النهاية على قاعدة فاخرة.
#65,اسي مياكي,,للجنسين,50,,EMSA,صيفي وشتوي,اسي مياكي: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، مع قلب يفوح برائحة خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#66,ايلي صعب,,نسائي,60,,EMSA,صيفي وشتوي,ايلي صعب: يمتاز العطر ببداية فوارة من خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات الفانيليا والكاكاو، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#67,الحب الاول,,للجنسين,48,,EMSA,صيفي وشتوي,الحب الاول: يفتتح هذا العطر رحلته بنفحات الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير خشب الصندل والباتشولي، ليستقر في النهاية على قاعدة فاخرة.
#68,الحب المجنون,,للجنسين,48,,EMSA,صيفي وشتوي,الحب المجنون: يمتاز العطر ببداية فوارة من الباتشولي والمسك الأبيض، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، تاركا أثراً جذاباً لا ينسى.
#69,الرحاب,,للجنسين,58,,EMSA,صيفي وشتوي,الرحاب: يفتتح هذا العطر رحلته بنفحات خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات الفانيليا والكاكاو، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#70,اصيل,,للجنسين,54,,EMSA,صيفي وشتوي,اصيل: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير العود والعنبر، يعطي شعوراً بالفخامة والتميز.
#71,الطريق الى دبي,,للجنسين,70,,EMSA,صيفي وشتوي,الطريق الى دبي: يطل علينا العطر بافتتاحية من خشب الصندل والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ الفانيليا والكاكاو، يعطي شعوراً بالفخامة والتميز.
#72,الثلج الاسود,,رجالي,42,,EMSA,صيفي,الثلج الاسود: يمتاز العطر ببداية فوارة من الباتشولي والمسك الأبيض، ليستقر في وسطه عبير الفانيليا والكاكاو، تاركا أثراً جذاباً لا ينسى.
#73,البنفسج,,للجنسين,38,,EMSA,صيفي وشتوي,البنفسج: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، مع قلب يفوح برائحة خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#74,اليزابيث اردن,,نسائي,50,,EMSA,صيفي وشتوي,اليزابيث اردن: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ خشب الصندل والباتشولي، يمنحك هالة من الثقة طوال اليوم.
#75,الشفاه المبللة,,نسائي,62,,EMSA,صيفي وشتوي,الشفاه المبللة: تبدأ التجربة العطرية بعبير خشب الصندل والفانيليا الناعمة، مع قلب يفوح برائحة التوابل الحارة والزعفران، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#76,القلب الشجاع,,للجنسين,52,,EMSA,صيفي وشتوي,القلب الشجاع: ينطلق العطر بنغمات منعشة من خشب الصندل والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة.
#77,الشيخ زايد,,رجالي,44,,EMSA,صيفي وشتوي,الشيخ زايد: يمتاز العطر ببداية فوارة من خشب الصندل والمسك الأبيض، ليستقر في وسطه عبير خشب الصندل والباتشولي، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#78,الشيخ زايد (م),,رجالي,38,,EMSA,صيفي وشتوي,الشيخ زايد (م): تأتي الرشة الأولى مزيجاً من الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة.
#79,الشيخ زايد كولد,,رجالي,52,,EMSA,صيفي وشتوي,الشيخ زايد كولد: تبدأ التجربة العطرية بعبير خشب الصندل والمسك الأبيض، مع قلب يفوح برائحة خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#80,الليلة الخاصة,,للجنسين,60,,EMSA,صيفي وشتوي,الليلة الخاصة: يفتتح هذا العطر رحلته بنفحات الباتشولي والمسك الأبيض، مع قلب يفوح برائحة التوابل الحارة والزعفران، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#81,الزهرة الخاصة,,للجنسين,38,,EMSA,صيفي وشتوي,الزهرة الخاصة: يطل علينا العطر بافتتاحية من الباتشولي والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ خشب الصندل والباتشولي، يمنحك هالة من الثقة طوال اليوم.
#82,اللور هوم سبورت FR,,رجالي,58,,EMSA,صيفي وشتوي,اللور هوم سبورت FR: يفتتح هذا العطر رحلته بنفحات الباتشولي والمسك الأبيض، ليستقر في وسطه عبير العود والعنبر، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#83,الانوثة من بوس,,للجنسين,52,,EMSA,صيفي وشتوي,الانوثة من بوس: تأتي الرشة الأولى مزيجاً من الباتشولي والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات الفانيليا والكاكاو، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#84,الاسطورة,,للجنسين,54,,EMSA,صيفي وشتوي,الاسطورة: تبدأ التجربة العطرية بعبير خشب الصندل والمسك الأبيض، ليأخذك في رحلة إلى نوتات العود والعنبر، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#85,الاحساس السري,,للجنسين,60,,EMSA,صيفي وشتوي,الاحساس السري: تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#86,الادمان العجيب,,للجنسين,64,,EMSA,صيفي وشتوي,الادمان العجيب: تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، ليستقر في وسطه عبير الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة.
#87,الوردة البيضاء,,للجنسين,50,,EMSA,صيفي وشتوي,الوردة البيضاء: تأتي الرشة الأولى مزيجاً من الورد التركي وبراعم اللوز، ويتجلى في جوهره مزيج من العود والعنبر، تاركا أثراً جذاباً لا ينسى.
#88,الوردة الحمراء,,للجنسين,46,,EMSA,صيفي وشتوي,الوردة الحمراء: ينطلق العطر بنغمات منعشة من الورد التركي وبراعم اللوز، ليأخذك في رحلة إلى نوتات خشب الصندل والباتشولي، ليستقر في النهاية على قاعدة فاخرة.
#89,العود الابيض,,للجنسين,56,,EMSA,شتوي,العود الابيض: تبدأ التجربة العطرية بعبير العود الملكي والمسك الأسود، ليأخذك في رحلة إلى نوتات الفانيليا والكاكاو، يعطي شعوراً بالفخامة والتميز.
#90,العطر العربي,,للجنسين,60,,EMSA,صيفي وشتوي,العطر العربي: تأتي الرشة الأولى مزيجاً من العود الملكي والعنبر الدافئ، ليستقر في وسطه عبير التوابل الحارة والزعفران، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#91,الخيال,,للجنسين,64,,EMSA,صيفي وشتوي,الخيال: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات الفانيليا والكاكاو، تاركا أثراً جذاباً لا ينسى.
#92,الحلم الازرق,,للجنسين,60,,EMSA,صيفي وشتوي,الحلم الازرق: ينطلق العطر بنغمات منعشة من خشب الصندل والمسك الأبيض، ليأخذك في رحلة إلى نوتات الفانيليا والكاكاو، يمنحك هالة من الثقة طوال اليوم.
#93,الخط العربي,,للجنسين,85,,EMSA,صيفي وشتوي,الخط العربي: يطل علينا العطر بافتتاحية من البخور الفاخر والمسك الأسود، ويتجلى في جوهره مزيج من الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة.
#94,الخلطة الخاصة مع العود,,للجنسين,98,,EMSA,شتوي,الخلطة الخاصة مع العود: تبدأ التجربة العطرية بعبير الزعفران والمسك الأسود، ثم ينتقل بك إلى قلب عطري غني بـ الفانيليا والكاكاو، تاركا أثراً جذاباً لا ينسى.
#95,السلطانة هويام,,نسائي,54,,EMSA,صيفي وشتوي,السلطانة هويام: تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ العود والعنبر، يعطي شعوراً بالفخامة والتميز.
#96,السعادة الابدية,,للجنسين,54,,EMSA,صيفي وشتوي,السعادة الابدية: يطل علينا العطر بافتتاحية من الباتشولي والفانيليا الناعمة، مع قلب يفوح برائحة التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#97,اللمسة الوردية,,نسائي,52,,EMSA,صيفي وشتوي,اللمسة الوردية: تبدأ التجربة العطرية بعبير الورد التركي وزهر البرتقال، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#98,الرهان,,للجنسين,44,,EMSA,صيفي وشتوي,الرهان: تأتي الرشة الأولى مزيجاً من الباتشولي والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات العود والعنبر، يمنحك هالة من الثقة طوال اليوم.
#99,الوسام,,رجالي,64,,EMSA,صيفي وشتوي,الوسام: يطل علينا العطر بافتتاحية من خشب الصندل والمسك الأبيض، مع قلب يفوح برائحة الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة.
#100,المسني,,للجنسين,54,,EMSA,صيفي وشتوي,المسني: تبدأ التجربة العطرية بعبير الباتشولي والمسك الأبيض، مع قلب يفوح برائحة الفانيليا والكاكاو، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#101,اليقين,,للجنسين,70,,EMSA,صيفي وشتوي,اليقين: يمتاز العطر ببداية فوارة من الباتشولي والمسك الأبيض، ليأخذك في رحلة إلى نوتات الفانيليا والكاكاو، يمنحك هالة من الثقة طوال اليوم.
#102,الين (النجمة),,للجنسين,60,,EMSA,صيفي وشتوي,الين (النجمة): يمتاز العطر ببداية فوارة من خشب الصندل والفانيليا الناعمة، ليستقر في وسطه عبير الفانيليا والكاكاو، يعطي شعوراً بالفخامة والتميز.
#103,الـ. اومبر دانس,,للجنسين,60,,EMSA,صيفي وشتوي,الـ. اومبر دانس: تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، بينما ينبض القلب بنبضات العود والعنبر، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#104,الماء الازرق,,للجنسين,54,,EMSA,صيفي وشتوي,الماء الازرق: يمتاز العطر ببداية فوارة من خشب الصندل والفانيليا الناعمة، ويتجلى في جوهره مزيج من التوابل الحارة والزعفران، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#105,المتألق,,للجنسين,64,,EMSA,صيفي وشتوي,المتألق: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
